pos,url,name,westerley points,race count
1,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,220,11
2,https://rgtdb.com/user/86973,David wcc Buckley wcc,210,12
3,https://rgtdb.com/user/70138,Andrew Beale c,206,11
4,https://rgtdb.com/user/128814,Tim Cummins,170,10
5,https://rgtdb.com/user/91958,Gt Thakkar,168,10
6,https://rgtdb.com/user/69166,Ian Nguru,33,2
7,https://rgtdb.com/user/221746,Tom Yates-ijaz,32,2
8,https://rgtdb.com/user/228324,Nic Lee,18,1
9,https://rgtdb.com/user/65012,Dave Morrison,16,1
10,https://rgtdb.com/user/241161,Weiran Shen wcc,12,1
