pos,url,name,westerley points,race count
1,https://rgtdb.com/user/91958,Gt Thakkar,53,3
2,https://rgtdb.com/user/86973,David wcc Buckley wcc,51,3
3,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,40,2
4,https://rgtdb.com/user/70138,Andrew Beale c,39,2
5,https://rgtdb.com/user/69166,Ian Nguru,33,2
6,https://rgtdb.com/user/128814,Tim Cummins,31,2
7,https://rgtdb.com/user/228324,Nic Lee,18,1
8,https://rgtdb.com/user/65012,Dave Morrison,16,1
9,https://rgtdb.com/user/221746,Tom Yates-ijaz,15,1
10,https://rgtdb.com/user/241161,Weiran Shen wcc,12,1
