pos,url,name,westerley points,race count
1,https://rgtdb.com/user/134948,Nick Greenhalghяʀ,240,12
2,https://rgtdb.com/user/86973,David wcc Buckley wcc,227,13
3,https://rgtdb.com/user/70138,Andrew Beale c,224,12
4,https://rgtdb.com/user/128814,Tim Cummins,189,11
5,https://rgtdb.com/user/91958,Gt Thakkar,183,11
6,https://rgtdb.com/user/221746,Tom Yates-ijaz,48,3
7,https://rgtdb.com/user/69166,Ian Nguru,33,2
8,https://rgtdb.com/user/228324,Nic Lee,18,1
9,https://rgtdb.com/user/65012,Dave Morrison,16,1
10,https://rgtdb.com/user/241161,Weiran Shen wcc,12,1
